Plot,latitude,longitude
RM4,38.96226987,-106.9870344
RM5,38.96224416,-106.9869409
RM3,38.96224005,-106.9868339
RM6,38.96201896,-106.9868935
RM2,38.96197371,-106.9868781
RM1,38.9619336,-106.9865902
AF9,38.96141196,-106.9861518
RM7,38.96009063,-106.9856385
STR,38.95917234,-106.9870168
MDW,38.95883921,-106.9870322
INT1,38.95620245,-106.9883493
WM1,38.95609449,-106.9882864
GH1,38.95607224,-106.9883021
INT2,38.95597133,-106.9885999
WM2,38.9559225,-106.988696
GH3,38.95592359,-106.9887855
INT3,38.95576137,-106.9888533
WM3,38.9556941,-106.9888587
GH4,38.95566589,-106.9887904
GH5,38.95556009,-106.9889499
WM4,38.95558668,-106.9890215
INT4,38.95563605,-106.9890546
GH2,38.95541632,-106.9891517
WM5,38.95539299,-106.9891349
INT5,38.95540005,-106.9891984
VR2,38.95451142,-106.9884399
EM1,38.95458691,-106.9888242
EM2,38.95452353,-106.9887871
VR1,38.95443949,-106.9888395
AF8,38.9628783,-106.9870716
